conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.86E+18,Sat Nov 30 23:07:06 +0000 2024,0,@Heraloebss Banyak juga di waspadai anak2 SD kelas 3 dan 4 itu naik sepeda motor listrik di jalan raya dan belum ada tindakkan dari aparat Kepolisian kalau terjadi kecelakaan dg mereka apes deh,1.86E+18,,Heraloebss,in,,0,0,0,https://x.com/Sgrdamai/status/1862996806537474159,193623463,Sgrdamai
1.86E+18,Thu Nov 28 10:52:50 +0000 2024,0,@y_haandsome @convomf Aku tiap ketemu pengendara sepeda listrik apalagi kalo pengemudinya masih anak-anak. Auto minggir pelan dan waspada. Karena sering banget kecelakaan sepeda listrik dan yang disalahin selalu pengendara motor atau mobilnya.,1.86E+18,,y_haandsome,in,,0,0,0,https://x.com/brokoliegirl/status/1862087248763834486,1.26E+18,brokoliegirl
1.86E+18,Wed Nov 27 14:40:42 +0000 2024,86,@haeXjun @convomf Kalo motor listrik gkpapa kak tapi sepeda listrik mau pake helm pun aslinya tetep baiknya dihindari dibawa ke jalan. Alasannya itu tadi sepeda listrik gk ada plat yg bisa diidentifikasi dan gk perlu SIM dikhawatirkan kalau ada kecelakaan kendaraannya gk bisa digaransi(?),1.86E+18,,haeXjun,in,fa/pa | x02it | anikpop,0,1,0,https://x.com/y_haandsome/status/1861782202876314092,1.16E+18,y_haandsome
1.86E+18,Fri Nov 22 07:17:48 +0000 2024,0,#prayforsemarang Selain kecelakaan beruntun kmrn jg kebakaran pabrik sepeda listrik,1.86E+18,,,in,"Semarang,Indonesia",0,0,0,https://x.com/subindiahneelam/status/1859858806337155472,173008090,subindiahneelam
1.86E+18,Mon Nov 18 11:37:47 +0000 2024,1,Hai Sobat Polda NTB. Penggunaan Sepeda Listrik di jalan raya selain berbahaya juga dapat memicu terjadinya kecelakaan. Patikan Sobat hanya menggunkan Sepeda Listrik di lajur khusus atau kawasan khusus ya...! Yuk..! Patuhi aturan berlalu-lintas and stay safe. #poldantb https://t.co/HQoYNFaWkS,1.86E+18,https://pbs.twimg.com/media/Gcqg3xBaQAAtOTL.jpg,,in,,0,0,0,https://x.com/PPrayabara34928/status/1858474682665873821,1.66E+18,PPrayabara34928
1.85E+18,Fri Nov 08 06:04:00 +0000 2024,1,@neVerAl0nely Ni ya jadi itu tu warga nya udah emosi karna banyak kecelakaan saat pembangunan. Tapi banyak oknum yang gak jelas juga tiba hancurin mobil truk nya di ambilin juga part nya. Asli nya juga itu gak salah yang bawa truk nya dia gak tau kalo ada yang nyalip pake sepeda listrik,1.85E+18,,neVerAl0nely,in,,0,0,0,https://x.com/ARDDims15/status/1854766804385907111,1.57E+18,ARDDims15
1.85E+18,Sun Nov 03 11:07:20 +0000 2024,17,@txtdrbekasi Orang tua mikir apaan dah pas ngasih sepeda listrik pdhl udah banyak kasus kecelakaan krn sepeda listrik,1.85E+18,,txtdrbekasi,in,,0,1,0,https://x.com/TriCahyyow/status/1853031199528362123,1.36E+18,TriCahyyow
1.85E+18,Thu Oct 31 18:03:29 +0000 2024,1,kalo yg komen thailand percaya sih pernah ke salah satu jalan di hatyai waktu itu gatau knapa lampu merah di daerah tepi lautnya gada tapi jalannya pada pelan mana semuanya pake sepeda listrik juga. gada ugal-ugalan disitu juga katanya jarang ada kecelakaan lintas,1.85E+18,,,in,"Kyoto City Fushimi Ward, Kyoto",0,0,0,https://x.com/withnanamimercy/status/1852048762417615201,1.82E+18,withnanamimercy
1.85E+18,Wed Oct 16 04:02:06 +0000 2024,1,Dilarang menggunakan Sepeda Listrik di Jalan Raya Stop Pelanggaran Stop Kecelakaan Keselamatan untuk Kemanusiaan. @divisihumaspolri @spripimpoldajatim @humaspoldajatim @polisi_indonesia #polripresisi #polisiindonesia #polreslamongan #opszebrasemeru2024 https://t.co/y3vnGsIDm0,1.85E+18,https://pbs.twimg.com/media/GZ-8G_3aIAAVhFj.jpg,,in,,0,0,0,https://x.com/polsek_sukodadi/status/1846401204030787912,1.52E+18,polsek_sukodadi
1.85E+18,Wed Oct 16 01:14:25 +0000 2024,0,Anggota Polsek Babelan dipimpin Kanit Binmas Iptu Suwari Melaksanakan Kegiatan Penertiban dan Himbaunan kepada Pengguna Dan pemilik Kendaraan Sepeda Listrik agar tidak Melintas dijalan Raya guna mencegah terjadinya Kecelakaan Lalulintas diwilayah Hukum Polsek Babelan. https://t.co/26srjpFRWY,1.85E+18,https://pbs.twimg.com/ext_tw_video_thumb/1846358976633753602/pu/img/YipXMnfxlcFBQyCI.jpg,,in,,0,0,0,https://x.com/PolsekBabelan/status/1846359004731396151,1.39E+18,PolsekBabelan
